phi,label,score
33,Rabbits and Hares,0.943391740322113
33,Domestic rabbit,0.9232462644577026
33,Drawing,0.883150577545166
33,Sketch,0.8489958047866821
33,Illustration,0.7593508362770081
33,Snout,0.7342774271965027
33,Black tailed jackrabbit,0.6894744038581848
34,Hare,0.9796440601348877
34,Rabbit,0.9760252833366394
34,Rabbits and Hares,0.9629822373390198
34,Domestic rabbit,0.9581223130226135
34,Drawing,0.9089747667312622
34,Sketch,0.8688043355941772
34,Snout,0.7840312123298645
34,Black-and-white,0.7811979055404663
34,Illustration,0.7593508362770081
34,Line art,0.669398844242096
35,Hare,0.9779559969902039
35,Mountain Cottontail,0.9769052863121033
35,Rabbit,0.9747464060783386
35,Rabbits and Hares,0.9579249024391174
35,Domestic rabbit,0.9406136870384216
35,Drawing,0.9076038002967834
35,Sketch,0.8640356659889221
35,Black-and-white,0.7811979055404663
35,Black tailed jackrabbit,0.7354268431663513
35,Snout,0.7342774271965027
36,Hare,0.9779559969902039
36,Mountain Cottontail,0.9769052863121033
36,Rabbit,0.9760252833366394
36,Rabbits and Hares,0.9595940709114075
36,Domestic rabbit,0.9541114568710327
36,Drawing,0.9012458920478821
36,Sketch,0.8688043355941772
36,Illustration,0.7544986605644226
36,wood rabbit,0.7518823742866516
36,Black-and-white,0.7436744570732117
37,Hare,0.9813075065612793
37,Rabbit,0.9773088693618774
37,Rabbits and Hares,0.9647055864334106
37,Domestic rabbit,0.9571413993835449
37,Drawing,0.9034017324447632
37,Sketch,0.845040500164032
37,Black-and-white,0.7811979055404663
37,Snout,0.7342774271965027
37,Illustration,0.7175435423851013
37,Line art,0.6889951825141907
38,Hare,0.9779559969902039
38,Mountain Cottontail,0.9769052863121033
38,Rabbit,0.973471462726593
38,Rabbits and Hares,0.9546274542808533
38,Domestic rabbit,0.9418267011642456
38,Drawing,0.9055202007293701
38,Sketch,0.8711481094360352
38,Snout,0.7840312123298645
38,Black tailed jackrabbit,0.743715763092041
38,Illustration,0.7095673680305481
39,Mountain Cottontail,0.9769052863121033
39,Hare,0.9691485166549683
39,Rabbit,0.9569982290267944
39,Domestic rabbit,0.9442031979560852
39,Rabbits and Hares,0.9308735728263855
39,Drawing,0.8702816367149353
39,Sketch,0.8368605971336365
39,Snout,0.7840312123298645
39,Black tailed jackrabbit,0.7065404653549194
